t,x1,x2,x3
0.0000000000,1.0000000000,1.0000000000,1.0000000000
0.0100000000,1.0125671911,1.2599177989,0.9848909718
0.0200000000,1.0488237097,1.5239971313,0.9731142199
0.0300000000,1.1072088543,1.7983098897,0.9651589513
0.0400000000,1.1868680167,2.0885401422,0.9617372249
0.0500000000,1.2875570573,2.4001544637,0.9638060638
0.0600000000,1.4095706581,2.7385456137,0.9726081699
0.0700000000,1.5536900617,3.1091539685,0.9897311223
0.0800000000,1.7211463805,3.5175694552,1.0171865238
0.0900000000,1.9135962033,3.9696150098,1.0575118554
0.1000000000,2.1331065433,4.4714106479,1.1138989185
0.1100000000,2.3821462580,5.0294149485,1.1903537267
0.1200000000,2.6635809101,5.6504379046,1.2918934997
0.1300000000,2.9806675795,6.3416154466,1.4247868775
0.1400000000,3.3370453308,7.1103312330,1.5968433322
0.1500000000,3.7367157938,7.9640652187,1.8177565222
0.1600000000,4.1840065339,8.9101408011,2.0995032544
0.1700000000,4.6835074584,9.9553328732,2.4567936192
0.1800000000,5.2399673251,11.1052881076,2.9075570280
0.1900000000,5.8581334531,12.3636971933,3.4734309649
0.2000000000,6.5425131039,13.7311488205,4.1801912243
0.2100000000,7.2970301079,15.2035915127,5.0580208556
0.2200000000,8.1245461540,16.7703400206,6.1414571172
0.2300000000,9.0262145969,18.4116009575,7.4687812210
0.2400000000,10.0006389002,20.0955764759,9.0805309659
0.2500000000,11.0428228652,21.7753582556,11.0167410426
0.2600000000,12.1429322465,23.3860678330,13.3124912051
0.2700000000,13.2849445316,24.8430357730,15.9914393602
0.2800000000,14.4453503563,26.0421958638,19.0573329443
0.2900000000,15.5921823513,26.8641686409,22.4841251867
0.3000000000,16.6847634762,27.1834731358,26.2062973294
0.3100000000,17.6746391932,26.8836058397,30.1121349668
0.3200000000,18.5081130555,25.8771055504,34.0435490905
0.3300000000,19.1305684711,24.1273030909,37.8058089420
0.3400000000,19.4923057122,21.6660395919,41.1885556680
0.3500000000,19.5550406766,18.6006737054,43.9956923838
0.3600000000,19.2977226559,15.1055610686,46.0774748055
0.3700000000,18.7202115289,11.3979755909,47.3556686651
0.3800000000,17.8437760211,7.7042584117,47.8339540886
0.3900000000,16.7082339760,4.2257612452,47.5907676944
0.4000000000,15.3664985361,1.1137575723,46.7580152453
0.4100000000,13.8779140648,-1.5416692574,45.4933241326
0.4200000000,12.3018476690,-3.7091436620,43.9539820319
0.4300000000,10.6926187956,-5.4042063807,42.2780567360
0.4400000000,9.0962594951,-6.6737023282,40.5744633344
0.4500000000,7.5490648350,-7.5808287674,38.9207973663
0.4600000000,6.0775619957,-8.1933775763,37.3663546979
0.4700000000,4.6994116543,-8.5759060180,35.9376975033
0.4800000000,3.4247928378,-8.7854212150,34.6447803579
0.4900000000,2.2579326743,-8.8696764093,33.4864664580
0.5000000000,1.1985649579,-8.8671390009,32.4549326014
0.5100000000,0.2432037949,-8.8078691436,31.5388912320
0.5200000000,-0.6138094172,-8.7147816789,30.7257773606
0.5300000000,-1.3794836451,-8.6049706939,30.0031254705
0.5400000000,-2.0615559258,-8.4909275227,29.3593600293
0.5500000000,-2.6680359054,-8.3815809871,28.7841873204
0.5600000000,-3.2068833870,-8.2831453222,28.2687316511
0.5700000000,-3.6857884650,-8.1997899745,27.8055179651
0.5800000000,-4.1120287383,-8.1341572193,27.3883699198
0.5900000000,-4.4923831582,-8.0877559190,27.0122680255
0.6000000000,-4.8330866257,-8.0612575511,26.6731952469
0.6100000000,-5.1398132654,-8.0547166586,26.3679858794
0.6200000000,-5.4176793532,-8.0677335954,26.0941859804
0.6300000000,-5.6712592386,-8.0995735440,25.8499289178
0.6400000000,-5.9046094092,-8.1492525388,25.6338267670
0.6500000000,-6.1212971922,-8.2155986472,25.4448766824
0.6600000000,-6.3244316017,-8.2972944936,25.2823805517
0.6700000000,-6.5166945902,-8.3929058390,25.1458759043
0.6800000000,-6.7003715215,-8.5008998547,25.0350759972
0.6900000000,-6.8773801021,-8.6196559513,24.9498171271
0.7000000000,-7.0492973258,-8.7474714796,24.8900114293
0.7100000000,-7.2173842266,-8.8825642297,24.8556036881
0.7200000000,-7.3826084285,-9.0230733914,24.8465309699
0.7300000000,-7.5456646247,-9.1670604451,24.8626841882
0.7400000000,-7.7069932454,-9.3125113163,24.9038710137
0.7500000000,-7.8667976635,-9.4573410071,24.9697798516
0.7600000000,-8.0250603693,-9.5994018071,25.0599449167
0.7700000000,-8.1815586003,-9.7364960508,25.1737127500
0.7800000000,-8.3358799500,-9.8663942247,25.3102108210
0.7900000000,-8.4874384989,-9.9868590090,25.4683191475
0.8000000000,-8.6354919987,-10.0956755615,25.6466461169
0.8100000000,-8.7791606053,-10.1906880112,25.8435098963
0.8200000000,-8.9174475860,-10.2698417183,26.0569269412
0.8300000000,-9.0492623225,-10.3312304004,26.2846091372
0.8400000000,-9.1734457901,-10.3731467340,26.5239710071
0.8500000000,-9.2887985226,-10.3941345494,26.7721481669
0.8600000000,-9.3941108660,-10.3930402960,27.0260278132
0.8700000000,-9.4881951097,-10.3690611038,27.2822914724
0.8800000000,-9.5699188521,-10.3217865654,27.5374695608
0.8900000000,-9.6382387468,-10.2512313562,27.7880065394
0.9000000000,-9.6922335888,-10.1578560317,28.0303346552
0.9100000000,-9.7311355684,-10.0425738078,28.2609535146
0.9200000000,-9.7543584543,-9.9067418313,28.4765121206
0.9300000000,-9.7615214849,-9.7521363358,28.6738895952
0.9400000000,-9.7524678557,-9.5809120975,28.8502706690
0.9500000000,-9.7272768840,-9.3955476467,29.0032121811
0.9600000000,-9.6862692081,-9.1987786675,29.1306973056
0.9700000000,-9.6300047110,-8.9935228246,29.2311749643
0.9800000000,-9.5592732251,-8.7827998029,29.3035828344
0.9900000000,-9.4750784439,-8.5696505912,29.3473534228
1.0000000000,-9.3786158072,-8.3570599553,29.3624037501
1.0100000000,-9.2712454141,-8.1478856525,29.3491101613
1.0200000000,-9.1544612236,-7.9447972993,29.3082705740
1.0300000000,-9.0298579247,-7.7502269817,29.2410570281
1.0400000000,-8.8990968777,-7.5663327987,29.1489616806
